,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
377,"Late ,Third Age","March 15 ,3019",Male,Blond,,Guthláf,Men,,,"Guthláf rode to the relief of Minas Tirith with his Lord in the War of the Ring, and there fought in the Battle of the Pelennor Fields where he was slain. To sound the charge Théoden took a horn from Guthláf and blew it so hard it burst.
He fell with the banner in his hand, and it had to be taken from him after death to be given to Éomer. He earned himself mention in the Song of the Mounds of Mundburg.[1]",
378,"Unknown, possibly during the ,First Age",FA 495,Male,Became grey in captivity,,Gwindor,Elves,,"None, betrothed to ,Finduilas","Gwindor was credited with beginning the Nírnaeth Arnoediad when, at the sight of his brother Gelmir's brutal murder at the hands of Orcs, he rashly charged the hosts of Morgoth on the plains of Anfauglith by his own will. He was ultimately captured when Morgoth's reserves were set forth from the fortress and the armies of Men and Elves were overrun. He was enslaved and put into one of the stone-gangs of Angband for seventeen years (FA 472 -489).
Gwindor later escaped Angband, but his hand was cut off in a fight with a guard. The injury devastated Gwindor and he fell into despair in the wilderness, and nearly died of the wound. He was rescued by Beleg and his will to live returned. He later helped Beleg free Túrin and, after Beleg's tragic and accidental death, Gwindor found himself trying to rouse Túrin as Beleg had roused him. He brought Túrin to Nargothrond, and in time would counsel against Túrin's policy of open warfare against Morgoth, but was ignored. He loved the Elf Finduilas, but found himself unfit to wed her, and an engagement between them was broken. He grew jealous of Túrin since she loved him more, and felt Túrin had gained respect from the council at his expense. He warned Finduilas that Túrin was cursed and would bring doom to the people he loved. Nevertheless, Gwindor pitied and loved him.
He was mortally wounded in the Battle of Tumhalad, the last battle of Nargothrond. Túrin abandoned the battle and bore him to safety, but his wounds could not be healed. Gwindor died reproaching Túrin for his pride and pleading him to save Finduilas, who alone stood between Túrin and his doom.[2][3][4]",
379,TA 2940,TA 3015,Male,,,Gálmód,Men,,Unnamed wife,"Because nothing is known of Gálmód, it is not clear whether he had held a high position in Rohan, nor was it known whether he was deceased by the time his son advised the king.[1] He was known by Gandalf, so he might of had some meeting with the wizard.",
380,"Late-,Third Age","February 28 ,3019",Male,,,Gárulf,Men,,,"Gárulf was a rider of the éored of Éomer during the War of the Ring. He was killed in Fangorn Forest when Éomer and his men attacked the Uruk-hai. His steed Hasufel was later given to Aragorn by Eomer, as a compensation for the presumed deaths of Merry and Pippin.[1]",
381,FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis,"Heraldic Device of the House of Hador
Hador was the son of Hathol and the great-great-grandson of Marach, (who first led the people of the Third House into Beleriand and was their first chieftain), and heir to the House of Marach. He entered the service of Fingolfin, the High King of the Ñoldor, at a young age. Hador was loved by the King, and he rose high in the esteem of many of the Eldar. Eventually, Hador would even become a part of Fingolfin's own council. Realizing the need for the Edain to live under their own lords and have lands of their own, Fingolfin granted as a fief to Hador the land of Dor-lómin (land of echoes) which thus made him the first Lord of Dor-lómin. Hador gathered most of the people of the Third House into that land, which lay in Hithlum. There, Hador's people became numerous; and he encouraged the use of the Sindarin tongue.
Hador continued to win renown among the Eldar as the Lord of Dor-lómin, as well as among Men. Two of Hador's children, Galdor and Glóredhel, were wedded to two of the children of Halmir, Chieftain of the Haladin, respectively Hareth, his daughter, and Haldir, his son of the House of Haleth, when the two peoples met for a great feast. Fingolfin also gave to Hador a great helm made by Telchar of Nogrod. It was made in the likeness of the dragon Glaurung, and came to be known as the Dragon-helm of Dor-lómin; it could only be borne by one of great stature and strength. In the year 455 of the First Age, Morgoth broke the Siege of Angband in the Dagor Bragollach. Hador fought alongside Fingolfin with what few warriors of the Third House he could gather against the swift onset of Morgoth's forces. He was slain, however, defending the retreat of his lord. His younger son, Gundor, fell beside him before the fortress of Barad Eithel. It was said that their deaths were greatly mourned by the Eldar.
The Dragon Helm, by Alan Lee.
Hador was the forefather of many heroes. His grandsons were Húrin and Huor. His great-grandsons were Túrin and Tuor, and his great-great grandson was Eärendil the Mariner. Aragorn Elessar, as well as all the Kings of Númenor, Gondor and Arnor were descended from Hador.[2] Perhaps the greatest testament to the legacy of Hador was that which was later written about his descendants:
""The Men of the Three Houses throve and multiplied, but greatest among them was the house of Hador Goldenhead, peer of Elven-lords. His people were of great strength and stature, ready in mind, bold and steadfast, quick to anger and to laughter, mighty among the Children of Ilúvatar in the youth of Mankind.""[citation needed]
The Heraldic Device of Hador Lórindol

The House of Hador was previously known as the House of Marach.
Gildis


 
 

 
 

Hador Lórindol

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Gundor

 
 

 
 

Galdor

 
 

 
 

Hareth


 
 

 
 



 
 

 
 



 
 

 
 

Glóredhel


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Haldir

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

HandirMorwen


 
 

 
 

Húrin

 
 

 
 

Huor

 
 

 
 

Rían


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Tuor

 
 

 
 

Idril


 
 

 
 

BrandirTúrin

 
 

 
 

Urwen


 
 

 
 

Niënor


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Eärendil

 
 

 
 

Elwing


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Elrond

 
 

 
 

Elros


",
382,TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife,"Hador was born in TA 2245 and was the only son of his father Túrin I. Following his father's death in TA 2278 Hador became the seventh Ruling Steward of Gondor, and the seventh steward to rule during the era known as the Watchful Peace. During his time as Steward and on the three hundredth anniversary of the Steward's Reckoning, the calendar system created by Mardil Voronwë was modified by Hador, adding one day to it to make it more accurate. Hador ruled Gondor until his death in TA 2395 at the age of 150 years old after a rule of one-hundred and seventeen years. Upon his death he was succeeded by his son Barahir.
Hador was the last noble Man of Gondor to live such a long life.[3]",
383,TA 2916,"March 15 ,3019",Male,Black,Tall,Halbarad,Men,,,"Halbarad was among the Rangers who guarded the Shire in the years prior to the War of the Ring. He said of the Hobbits, ""A little people, but of great worth are the Shire-folk. Little do they know of our long labor for the safekeeping of their borders, and yet I grudge it not.""
In response to a message sent to Rivendell by Galadriel, Halbarad led the Grey Company, comprised of 30 Rangers, south to the aid of their kinsman Aragorn. Aragorn rejoiced at their coming, and Théoden remarked thus; ""It is well! If these kinsmen be in any way like yourself, my Lord Aragorn, thirty such knights will be a strength that cannot be counted by heads.""
With them also rode Elladan and Elrohir, the sons of Elrond. They caught up with Aragorn near the Fords of Isen in Rohan in the early hours of March 6, TA 3019. Halbarad brought Aragorn a message from Arwen as well as a standard made by her, which Aragorn asked Halbarad to keep for him for a while.
Halbarad accompanied Aragorn to a chamber high in the Hornburg where Aragorn looked into the palantír and revealed himself to Sauron. That morning Aragorn decided to take the Paths of the Dead, down the Dimholt Road, under the White Mountains and Halbarad and the Grey Company went with him, along with Legolas and Gimli. When they reached the entrance at daybreak on March 8, Halbarad said, ""This is an evil door, and my death lies beyond it. I will dare to pass it nonetheless...""[1]
At midnight at the Stone of Erech, Aragorn summoned the Dead to fulfil their oaths and Halbarad unfurled Aragorn's standard, which appeared black with no device in the darkness. The Grey Company and the Army of the Dead passed through the lands of the south to Pelargir, where they captured the fleet of the Corsairs. Aragorn dismissed the Dead, and the Grey Company sailed up the Anduin.[2]
When they arrived at the Pelennor Fields on March 15 in the midst of the battle, Aragorn's standard was once again unfurled but now it was seen to bear the emblems of the House of Elendil; the White Tree of Gondor surmounted by seven stars and a crown. Halbarad carried the standard onto the battlefield, where he was killed.[3]",
384,FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel,"Haldir was the son of Halmir of Brethil.[1] He became Chieftain of the Haladin in Brethil for a time in his adulthood. He married Glóredhel of the House of Hador at the same feast where Galdor married Hareth[2], and they had a son named Handir. He fostered Húrin and Huor in their childhood years.[3] Haldir marched with the rest of his kin in support of the Union of Maedhros and was slain in the Nírnaeth Arnoediad along with most of the Men of Brethil.[4] Afterwards, his son Handir then inherited the title of Chieftain of the Haladin. When Glóredhel learned of his death, she fell into grief and illness and soon died.[5]
",
385,,TA 3019,Male,Golden,,Haldir (Lorien),Elves,,,"Third Age[]
""The Dwarf breathed so loudly we could have shot him in the dark.""
On January 15, 3019, Haldir and fellow guards encountered the Fellowship near the Nimrodel in the eaves of the forest. Haldir was able to speak to the Fellowship, for he knew the Common Tongue. He welcomed Legolas as a distant kinsman from the north (Mirkwood), and recognized Aragorn as a friend to Lady Galadriel. He was prepared to lead the Fellowship into Lórien, but hesitated upon learning that one of the party was a Dwarf. After consulting with his brothers, Haldir agreed that Gimli could enter if he went blindfolded. The fellowship then insisted that if one of them had to go blindfolded, they all would. The brothers reluctantly agreed, and then led them into the forest.[1]
They spent the night on a flet, or a platform in the trees. During the night, Haldir and his brothers heard Orcs passing and lured them away from the Fellowship. When he returned to the flet, Haldir saw a strange creature at the base of the tree, which Frodo guessed to be Gollum.
In the morning, Haldir fashioned a rope bridge for the Fellowship to use to cross the Silverlode. Haldir learned from Merry Brandybuck that the Grey Havens lay west of the Shire, and he spoke longingly of the sea, but sadly of the time when he and his kin would have to leave Lórien. When news came that the Fellowship's blindfolds could be removed, Haldir apologized to Gimli and welcomed him as the first Dwarf to enter Lórien since the time of Durin.
After guiding the Fellowship to Caras Galadhon, Haldir returned to his duties guarding the northern borders, but he returned when the Fellowship was about to depart to guide them to the banks of the Silverlode, where boats awaited them.[1]
Nothing further is known of Haldir's activities. It is likely that he participated in the defense of Lothlórien when the forces of Dol Guldur attacked it in March of 3019.
Haldir was one of the few Elves of Lórien who could speak Westron. He had clearly heard of Aragorn, but there is no indication that they had met previously.",
386,FA 341,FA 420,Female,,,Haleth,Men,,,"At the time of her birth, the Haladin had settled in Thargelion, in East Beleriand. After her father and her twin brother Haldar were slain in an Orc raid, Haleth became leader of the House. She held her people together for seven days until Caranthir and his army drove out the Orcs and ended their siege on the Haladin. Seeing, at last, what great courage dwelt in the hearts of some Men, Caranthir did Haleth great honor by offering her people land in the north under the protection of the Eldar. However, out of pride and a desire to remain independent, she declined the generous offer and instead gathered what remained of her people after the Orc siege and led them to Estolad.
Against the desire of her people, Haleth led the Haladin even further west to the land between the Mountains of Terror and the Girdle of Melian. Suffering much hardship and loss, many regretted taking part in the journey. Eventually, Haleth led her people to the relative safety of the Forest of Brethil on the western border of Doriath where they settled for the duration of the First Age. The Haladin then became known as the House of Haleth. She remained chieftainess of the Haladin until she died and retained a picked bodyguard of women. When she died, her people raised a green mound for her in the heights of the forest - named Tûr Haretha, the Ladybarrow, or Haudh-en-Arwen in Sindarin. Having never married, the leadership of the Haladin passed on to her nephew Haldan, son of her brother Haldar.[1]",
387,"Late ,Third Age","Winter of ,TA 2758",Male,,,Haleth (Helm's son),Men,,,"Haleth was born sometime around TA 2716, during the last years of the reign of his great-grandfather King Déor, the seventh King of Rohan. He would be the eldest son of Prince Helm Hammerhand and his unnamed wife, and would later have a sister, whose name is unknown, as well as a younger brother named Háma. His father Helm was the son of Gram, son and heir apparent to the reigning King Déor. When Haleth was a baby in TA 2718 his great-grandfather King Déor, now an old man at seventy-four, died after a nineteen-year reign spent fighting the Dunlendings and was succeeded by Haleth's grandfather Gram, who became the eighth king of Rohan.
The reign of Haleth's grandfather Gram saw the continuation of hostilities with the Dunlendings that had begun under the reign of King Déor. Eventually, Gram died in TA 2741, and Helm succeeded him as ninth king of Rohan.
During the reign of Helm, the King came into conflict with a powerful Dunlending landowner called Freca, who obstinately asked Helm for his daughter's hand in marriage for his son. King Helm took exception to his request and killed Freca with his bare hands in TA 2754. This would lead to another great war when the slain Freca's son and heir Wulf took a large host of Dunlendings to invade Rohan in TA 2758. When the invaders reached Edoras later that year, Haleth was killed defending the doors of the Golden Hall. Haleth's younger brother Háma and his father Helm himself would also die later on in this conflict in TA 2759.
With the deaths of King Helm and his sons, the main branch of the House of Eorl would become extinct. Therefore, the crown was claimed by the 33 year old Fréaláf Hildeson, a maternal grandson of King Gram via his daughter Princess Hild (sister of the late King Helm) who would avenge his uncle and cousins deaths by killing Wulf in single combat. Fréaláf would begin a cadet branch that formed the second line of the Kings of Rohan that would last until the War of the Ring at the end of the Third Age.[1]",
388,SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë,"Hallacar was a descendant of the short reigning king Vardamir Nólimon. He was a royal suitor who wished to marry Ancalimë, but she rejected all those who sought her hand and went into hiding in the land of Emerië.[2] He knew that Ancalimë was there and for a time he lived there as a simple shepherd, going by the name of Mámandil. The two became very close friends and frequently met with each other in the pastures. There he sang songs to her for he was quite skilled in such things and she was pleased, but he altered his songs to lament the lovers of old in an attempt to express his love for her. Afterwards, he did declare his love for her but she did not return it and drew back. It was after this that he revealed what his true name was and his lineage. Angry at this deception, she rejected him, at least at first but eventually they did agree to wed despite the fact that she did not desire to be married.
They married in SA 1000. Their marriage seemed to be for political reasons as Ancalimë needed to produce an heir to continue the royal bloodline and to prevent her cousin Soronto, who also had a claim to the throne of Númenor from becoming king. Hallacar's life with the Queen was not a happy one but they did have a son Anárion, the future Tar-Anárion. Afterwards the two became estranged and begun living apart from each other.[1]",
389,TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife,"Hallas was born in TA 2480 and was the son of Cirion. When Cirion died in TA 2567, Hallas succeeded him as Ruling Steward. Calenardhon had been given by his father to the Éothéod, and Hallas grew particularly friendly with the new arrivals and devised the names Rochand and Rochirrim for the land and its people, which became Rohan and Rohirrim in the Sindarin dialect of Gondor. In effect, Gondor had been halved in size, but it had gained a strong ally to the north in return.[3]
War never ceased on Gondor's eastern borders as the Balchoth were not completely destroyed, but they were no longer a serious threat. More of a problem was the Corsairs of Umbar, who kept raiding the coasts and Orcs based in Minas Morgul.
Hallas died in TA 2605 at the age of 125 years old after thirty-eight years of rule. He was succeeded by his son Húrin II.",
390,SA 711,"Mid ,Second Age",Male,,,Hallatan,Men,,Unnamed wife,"Hallatan was the second child and only son of Cemendur, a descendant of Vardamir Nólimon. His sister was Írildë. He owned a large amount of pastoral land in the Númenórean province of Emerië where many sheep were herded. This farming settlement was named Hyarastorni, where Hallatan ruled as 'Sheep-lord'. He often hosted Aldarion at his home in the reign of Tar-Meneldur, and where the other shepherds of Hyarastorni were known to come to visit. He was married to an unnamed woman and their children were Hallacar and Nessanië. His son came to marry Ancalimë in TA 1000.[1]",
391,"Late ,First Age",Late First Age ,Male,,,Halmir,Men,,Unnamed wife,"Halmir was the son of Haldan, and was a Chieftain of the Haladin. He was among the most famed of the Haladin, and a strong chieftain of his people. His sons were Haldir and Hundar; his daughters were Hareth and Hiril. Haldir and Hareth married into the House of Hador.
""Ambush of the Orc-Host"", by Ted Nasmith
While Halmir led the Haladin, the Forest of Brethil was largely unscathed by the forces of Morgoth. He led the Woodmen north to join the fight against Thangorodrim, and he was recognized with honor by the Elves. When large numbers of Orcs began to appear, Halmir sent for the aid of Elu Thingol of Doriath. To Halmir was sent a host of the Sindar under Beleg Cúthalion, and the combined force of the Woodmen and Sindar ambushed and destroyed an orc-legion in the depths of the forest; in this way Halmir won renown.[1] Later, when the Union of Maedhros was formed, Halmir pledged to send many men of the woods to join the muster of the Elven lords. However, Halmir died before he could lead his people to the war, and the lordship of the House of Haleth passed to Haldir, who fought in his father's stead.[2]",
392,TA 2760,,Male,,,Hamfast of Gamwich,Hobbit,,Unnamed wife,"Hamfast of Gamwich was born in TA 2760 (SR 1160), in the village of Gamwich. He married an unnamed woman and had at least one child, Wiseman Gamwich.[1]",
393,FA 441,FA 495,,,,Handir,Men,Brethil,Beldis,"Handir was born in the year 441 of the First Age. He was said to be a great warrior, and served as chieftain and Lord of the Men of Brethil around the time of the Nírnaeth Arnoediad.[2] During his lordship, Orcs invaded his lands, and leading the fight against them, he was slain in battle north of the Forest of Brethil. His people were driven back into the woods.
Handir was married to Beldis of the House of Bëor and had one son, Brandir.[3]
The Heraldic Device of Hador Lórindol

The House of Hador was previously known as the House of Marach.
Gildis


 
 

 
 

Hador Lórindol

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Gundor

 
 

 
 

Galdor

 
 

 
 

Hareth


 
 

 
 



 
 

 
 



 
 

 
 

Glóredhel


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Haldir

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

HandirMorwen


 
 

 
 

Húrin

 
 

 
 

Huor

 
 

 
 

Rían


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Tuor

 
 

 
 

Idril


 
 

 
 

BrandirTúrin

 
 

 
 

Urwen


 
 

 
 

Niënor


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Eärendil

 
 

 
 

Elwing


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Elrond

 
 

 
 

Elros


",
394,FA 470,FA 501,Male,,,Hardang,Men,,,"Hardang was a descendant of Halmir of the House of Haleth. His father was Hundad, and his grandfather was Hundar. After the death of the Halbar of Brethil, Handir, Hardang tried to supersede his cousin, Brandir, in acquiring the leadership of the Men of Brethil. Many Haladin believed Brandir to be unfit to rule them, and therefore supported Hardang.
Many people wanted Brandir's cousin Manthor to assume the role of Halbar instead. Unfortunately for him and his supporters, he was related to Brandir by a daughter, which meant that his kinship with Brandir was worth less in the eyes of the people. Hardang then won the vote, and became the Halbar of the Men of Brethil in FA 499. Upon becoming Halbar, Hardang chose Manthor to be the Captain of the Guards at the Crossings of Taeglin.
Within two years of ruling Brethil, whispers of the return of Húrin began echoing throughout Brethil. Hardang harbored resentment for the House of Hador, of which Húrin was a member, as it was not his own, and many of the houses of the time had harsh rivalries. Therefore, upon Húrin's arrival, Hardang launched an attack against him. Húrin wounded Hardang in the battle, and Manthor later defended Húrin and restored his honor, which made Hardang's approval with the people suffer.
Húrin survived the conflict, and Hardang lost a great deal more public approval for the attempt on his life. A group of the citizens then banded together and burned the Hall of the Haladin, from where all the Chieftains had ruled, with the intent of killing Hardang. He tried to flee from the burning structure, but was hit in the back by a spear while running away, and perished.[2]",
395,"Late ,Third Age","March 15 ,3019",Male,,,Harding,Men,,,,
396,FA 419,,Female,,,Hareth,Men,,Galdor,"Hareth lived during the First Age of Middle-earth, and was the elder daughter of Halmir, the Chieftain of the Haladin, and sister of Haldir, Hundar, and Hiril. She married Galdor in FA 436[1] of Dor-lómin, Lord of the House of Hador, and bore him two sons, Húrin and Huor.[2][3]",
397,"Mid ,First Age",FA 460,Male,,,Hathaldir,Men,,,"Hathaldir fought in the Dagor Bragollach with Barahir. When the battle was lost, he became one of the XII Bëorings who followed Barahir in Dorthonion. Hathaldir was killed along with the others at Tarn Aeluin by an Orc-force sent by Sauron to hunt them down after being betrayed by the outlaw-member Gorlim ""the Unhappy"".[1][2]",
398,F.A. 365,,Male,,,Hathol,Men,,,,
399,"Sometime before ,SA 799",,Male,,,Hatholdir,Men,,Unnamed wife,"Hatholdir was a man descended from the House of Hador. His was a close personal friend of King Tar-Meneldur. He married an unnamed woman and had a son named Orchaldor who entered royal line through marriage with Ailinel, the oldest daughter of his father's friend.[1]",
400,TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife,"Helm was born in TA 2691 to the royal House of Eorl that had ruled Rohan since TA 2510, during the reign of his great-grandfather, King Goldwine, sixth King of Rohan. Helm was the son of Prince Gram, the grandson of King Goldwine as son of Crown Prince Déor. When Helm was a young boy in TA 2699, the elderly King Goldwine died at the age of 80 after a long, peaceful reign, and the Crown Prince, aged 55, succeeded him as seventh King of Rohan. With King Déor's ascension, Helm's father Gram become the new Crown Prince, while Helm himself became second in line to the throne as grandson of the reigning monarch.
Unlike the reign of Helm's great-grandfather, King Goldwine, that Helm had spent his early childhood under, the reign of Déor was marked by conflict with the Dunlendings, a race of wild men inhabiting the lands bordering Rohan. Eleven years into King Déor's reign in TA 2710, by which time his grandson Prince Helm had grown to manhood, the Dunlendings would successfully capture the Gondorian fortress of Isengard, which they would use in succeeding years as a base. King Déor would die in TA 2718 at the old age of 74 after 19 years on the throne, and his 50-year-old son Crown Prince Gram, Helm's father, would succeed him as the Eighth King of Rohan. By now 27 years old, Helm would become the Crown Prince of Rohan and first in line to the throne.
Like the reign of Helm's grandfather King Déor, the reign of Helm's father King Gram saw a continuation of hostilities with the Dunlendings who would operate from the captured palace of Isengard to raid Rohan. In fact, the entirety of King Gram's 23-year reign was marked by open warfare with the Dunlendings, which Crown Prince Helm likely took part in. King Gram would die in TA 2741, and Crown Prince Helm, now aged 50, would finally succeed him as the ninth King of Rohan.
During his reign, King Helm came into conflict with an arrogant and powerful landowner named Freca.[1] Freca was a Dunlending with Rohirric blood; he claimed to be a descendant of King Fréawine of Rohan. Freca viewed King Helm with both contempt and scorn, while Helm mistrusted Freca and was wary of him.
In TA 2754, Freca attempted to intimidate and coerce King Helm into giving his approval and consent to an arranged marriage between Freca's son Wulf and Helm's daughter. Freca marched to a meeting of the King's council in Edoras with numerous retainers, planning to threaten the King into complying with his demands. In the resulting quarrel, Helm Hammerhand smote Freca with a single blow from his fist. The blow was so great, Freca died soon after. Enraged, the men of Freca left Edoras, and King Helm declared Wulf and his kin enemies of the King.[1]
Helm's fatal blow to Freca - The Lord of the Rings: The War of the Rohirrim
Four years later in TA 2758, a combined force of Dunlendings under the leadership of Wulf, Corsairs of Umbar, and Easterlings overran Rohan. Helm was defeated in battle at the Fords of Isen, and withdrew into the Súthburg at Helm's Deep (which was later renamed in his honor). There, he endured a long siege.[1]
While King Helm and his younger son Prince Háma were besieged in the Hornburg, a force of Dunlendings under the leadership of Wulf also besieged Edoras. Prince Haleth, King Helm's elder son, led the defence of Edoras. He was the last to fall defending the doors of the Golden Hall.[1]
Shortly after Yule 2758, Prince Háma accompanied by a small force went out to search for food, but he and his men were lost in a blizzard and never seen again. The Súthburg held a large war-horn, and whenever it was blown, Helm would break through the Dunlending ranks, slaying many of their men. Helm was described as clad in white and stalking his prey, resembling a Snow-troll. Helm's enemies came to fear him greatly during this time, and it was believed that he became so fierce and terrible, that he slew many of them with his bare hands. It was also believed that when he grew hungry and had no food he ate men, grief, and hunger having made Helm more ferocious.
After one sortie, Helm went to fight and did not return; his body was discovered the next morning frozen in the snow still standing, dead, his eyes open, ready to fight. This led to a belief among the Rohirrim and Dunlendings that even in death the wraith of Helm Hammerhand still wandered through Rohan, and defended the Hornburg. Helm died in TA 2759 at the age of 68. His nephew Fréaláf Hildeson, who defeated the Dunlendings, succeeded Helm.
Helm was called Hammerhand because of his great strength and prowess with his fists: he was known to fight barehanded. This is sometimes attributed to a superstition that if ""he used no weapon no weapon would upon bite him"".[1][2]",
401,"Early ,Second Age",unknown,Male,,,Henderch,Men,,,"Henderch was from the Westlands of Númenor (likely the region of Andustar). He became close to the great mariner and nobleman Aldarion and became a sailor and companion, along with a man named Ulbar on his ship accompanying him on his travels, including the one in SA 873. When the Hirilondë returned to the harbor of Rómenna in the autumn of SA 882, the year before Prince Aldarion became King of Númenor, Henderch was a steward to the prince.
Henderch accompanied his lord during his night ride to Hyarastorni to consult Hallatan, Aldarion's nephew. Afterwards, Aldarion spoke to Henderch and told him to ride homewards with his gratitude. Aldarion would never again return to Emerië.[1]",
